epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.30832,2.68595,6.13805,1.85823,0.12627,0.24324,0.08345,0.03163,2.07077,13.9566,1.43151,0.0002,0.0002,0.0002
2,6.27431,1.95917,2.61739,1.3607,0.17474,0.28378,0.10987,0.04714,2.21886,5.79529,1.51188,0.000419168,0.000419168,0.000419168
3,8.34146,1.86001,1.93984,1.27182,0.14839,0.37838,0.10449,0.0469,1.91365,4.00146,1.3332,0.000637466,0.000637466,0.000637466
4,10.2805,1.78526,1.68923,1.26189,0.09863,0.2973,0.05573,0.02072,2.00033,4.96257,1.48193,0.000854892,0.000854892,0.000854892
5,12.1936,1.73267,1.595,1.26051,0.24034,0.2027,0.13027,0.05892,2.58521,2.88189,1.98087,0.00107145,0.00107145,0.00107145
6,14.237,1.76773,1.59081,1.26726,0.00359,0.04054,0.00091,0.0003,3.55823,70.7229,3.36685,0.00128713,0.00128713,0.00128713
7,16.1042,1.82862,1.67733,1.29783,0.01148,0.13514,0.00404,0.00183,2.79834,40.6683,2.24975,0.00150194,0.00150194,0.00150194
8,17.9992,1.8193,1.64838,1.29417,0.14528,0.2027,0.12401,0.04618,2.05915,11.2529,1.62431,0.00171588,0.00171588,0.00171588
9,19.8815,1.80112,1.4932,1.31745,0.08085,0.65378,0.07462,0.03058,1.92955,9.89128,1.52616,0.00192895,0.00192895,0.00192895
10,21.802,1.72525,1.4929,1.28268,0.03718,0.66216,0.03161,0.01223,1.96203,42.6054,1.49923,0.00196436,0.00196436,0.00196436
11,23.6862,1.81835,1.44833,1.31417,0.39793,0.40541,0.26849,0.12605,2.01628,2.50757,1.5752,0.0019604,0.0019604,0.0019604
12,25.6702,1.77398,1.45227,1.2674,0.00216,0.28378,0.0013,0.00072,2.13272,inf,1.77837,0.00195644,0.00195644,0.00195644
